gender;age;country;income;number_of_dependents;dietary_requirements
Polygender;48;United States;142010.11;3;
Female;48;Afghanistan;74944.80;4;
Male;89;Indonesia;91147.66;1;
Male;51;Nigeria;139649.56;4;
Female;65;France;130932.64;1;Lactose free
Female;87;Japan;82801.84;3;
Polygender;69;Philippines;86616.69;1;
Female;32;Russia;102568.39;2;
Female;43;Vietnam;88518.17;5;FODMAP
Male;75;Ethiopia;29814.97;3;Gluten free
Female;71;China;125415.27;3;Paleo
Female;22;Ukraine;51541.94;1;
Female;84;Myanmar;80826.44;4;Nut Allergies
Female;88;Madagascar;113188.11;5;
Male;75;Philippines;98638.29;4;Vegan
Female;34;Indonesia;83397.45;2;
Male;50;Venezuela;42693.80;0;Fish Allergies
Male;23;Indonesia;108527.95;1;Ketogenic
Male;78;Pakistan;121653.46;1;Nut Allergies
Male;31;China;103923.34;0;
Polygender;20;Greece;35658.25;3;
Male;75;Philippines;141498.16;0;Vegan
Male;68;China;134928.29;4;Paleo
Female;37;Philippines;24720.02;3;Fish Allergies
Male;30;Indonesia;127460.62;3;
Female;60;Colombia;143171.07;4;
Male;84;Honduras;92094.34;0;
Male;29;Nigeria;146657.92;2;
Female;88;Russia;128207.61;0;FODMAP
Male;70;Poland;90535.92;3;Gluten free
Female;88;Sweden;88284.54;5;FODMAP
Male;54;Indonesia;145385.47;0;
Female;32;Greece;22060.84;4;
Agender;76;Greece;48976.06;0;
Bigender;44;United States;82670.42;4;
Agender;29;Guatemala;133204.30;2;
Female;52;Russia;53273.78;3;Vegetarian
Male;26;Macedonia;45150.63;2;
Male;59;China;38876.89;5;Vegetarian
Male;22;Czech Republic;133906.54;2;
Female;42;Cuba;104759.81;4;Gluten free
Male;49;Portugal;40433.14;5;Vegan
Female;80;China;88653.08;3;Lactose free
Male;80;Egypt;146602.74;2;
Male;57;China;73209.02;2;Vegan
Female;82;Malta;44046.55;0;Vegan
Male;70;Mexico;149487.33;0;
Male;74;Russia;118199.52;4;
Female;47;Afghanistan;104428.70;0;
Female;61;United States;128230.82;0;
Male;29;China;60558.90;0;Gluten free
Male;64;Indonesia;46084.48;3;
Female;49;Philippines;97757.66;5;
Male;61;Bulgaria;75978.72;5;Paleo
Male;52;Philippines;116854.62;1;Fish Allergies
Male;24;France;131091.52;5;
Female;80;Bulgaria;48748.99;5;
Male;36;Indonesia;92655.50;1;
Agender;70;South Korea;74376.55;3;
Male;85;Philippines;29746.24;2;
Female;78;China;106433.42;3;Fish Allergies
